                  创业板指 (399006)													
													
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   				
													
2017	4	17	9	35	1880.77	1885.25	1879.42	8	635219	           	           	           	           
2017	4	17	9	40	1884.79	1885.46	1874.04	1874.04	580122	1879.41	           	           	           
2017	4	17	9	45	1873.81	1878.77	1872.64	1878.77	336773	1876.41	           	           	           
2017	4	17	9	50	1878.83	1882.2	1878.78	1881.96	242217	1880.36	           	           	           
2017	4	17	9	55	1882.06	1884.06	1881.71	1884.06	194802	1883.01	           	           	           
2017	4	17	10	0	1884.96	1886.61	1884.58	1885.6	172431	1884.83	           	           	           
2017	4	17	10	5	1885.43	1885.43	1883.62	1884.03	131987	1884.82	           	           	           
2017	4	17	10	10	1885.06	1885.13	1884.43	1884.5	123344	1884.27	           	           	           
2017	4	17	10	15	1884.27	1884.79	1882.71	1882.71	124962	1883.6	           	           	           
2017	4	17	10	20	1882.77	1883.8	1881.81	1883.62	114565	1883.17	           	           	           
2017	4	17	10	25	1883.54	1883.8	1882.21	1882.21	114382	1882.92	           	           	           
2017	4	17	10	30	1882.2	1882.2	1879.49	1879.61	106068	1880.91	           	           	           
2017	4	17	10	35	1879.61	1880.74	1878.26	1880.49	99836	1880.05	           	           	           
2017	4	17	10	40	1880.63	1881.1	1880.13	1880.69	91433	1880.59	           	           	           
2017	4	17	10	45	1880.67	1880.67	1878.67	1879.01	105667	1879.85	           	           	           
2017	4	17	10	50	1878.97	1879.16	1876.85	1876.85	107084	1877.93	           	           	           
2017	4	17	10	55	1876.71	1880.4	1876.37	1879.65	110542	1878.25	           	           	           
2017	4	17	11	0	1879.75	1880.7	1879.45	1880.17	79973	1879.91	           	           	           
2017	4	17	11	5	1880.11	1880.31	1877.87	1877.99	81157	1879.08	           	           	           
2017	4	17	11	10	1877.96	1877.96	1875.03	1875.06	88465	1876.53	           	           	           
2017	4	17	11	15	1875.14	1876.64	1873.48	1873.8	124671	1874.43	           	           	           
2017	4	17	11	20	1873.73	1875.48	1871.86	1872.05	116900	1872.93	           	           	           
2017	4	17	11	25	1871.88	1872.18	1867.08	1867.08	136303	1869.56	           	           	           
2017	4	17	11	30	1867.1	1867.75	1865.6	1867.59	162901	1867.33	           	           	           
2017	4	17	13	5	1867.5	1868.71	1865.66	1867.93	161762	1867.76	           	           	           
2017	4	17	13	10	1867.81	1870.74	1867.81	1870.14	77846	1869.04	           	           	           
2017	4	17	13	15	1870.23	1871.23	1869.99	1870.06	73576	1870.1	           	           	           
2017	4	17	13	20	1869.97	1870.28	1868.17	1868.53	79399	1869.29	           	           	           
2017	4	17	13	25	1868.47	1868.68	1865.48	1865.55	88864	1867.04	           	           	           
2017	4	17	13	30	1865.55	1865.55	1863.63	1864.56	107793	1865.06	           	           	           
2017	4	17	13	35	1864.49	1872.87	1864.29	1872.53	112350	1868.54	           	           	           
2017	4	17	13	40	1872.43	1873.39	1871.93	1872.55	89491	1872.54	           	           	           
2017	4	17	13	45	1872.5	1872.61	1871.22	1871.78	68514	1872.17	           	           	           
2017	4	17	13	50	1871.68	1872.13	1870.61	1870.85	67804	1871.31	           	           	           
2017	4	17	13	55	1870.87	1871.29	1870.66	1871.21	69219	1871.03	           	           	           
2017	4	17	14	0	1871.31	1873	1871.31	1872.54	80699	1871.88	           	           	           
2017	4	17	14	5	1872.42	1872.47	1869.74	1870.69	90359	1871.61	           	           	           
2017	4	17	14	10	1870.87	1872.81	1870.75	1872.01	75923	1871.35	           	           	           
2017	4	17	14	15	1872.03	1872.79	1871.86	1872.43	72561	1872.22	           	           	           
2017	4	17	14	20	1872.36	1872.36	1869.63	1869.75	79304	1871.09	           	           	           
2017	4	17	14	25	1869.79	1869.83	1867.21	1867.57	101391	1868.66	           	           	           
2017	4	17	14	30	1867.49	1868.98	1867.42	1868.78	83105	1868.18	           	           	           
2017	4	17	14	35	1868.67	1869.36	1865.12	1865.12	114223	1866.95	           	           	           
2017	4	17	14	40	1865.04	1865.08	1862.36	1864.31	177619	1864.71	           	           	           
2017	4	17	14	45	1864.27	1867.26	1864.25	1866.89	130482	1865.6	           	           	           
2017	4	17	14	50	1866.91	1868.18	1866.34	1868.04	122047	1867.46	           	           	           
2017	4	17	14	55	1868.13	1869.12	1868.13	1868.78	155182	1868.41	           	           	           
2017	4	17	15	0	1868.85	1868.85	1868.03	1868.28	168771	1868.53	           	           	           
2017	4	18	9	35	1867.58	1872.08	1867.58	1871.86	388225	1870.07	           	           	           
2017	4	18	9	40	1872.07	1875.02	1872.07	1874.24	232566	1873.05	           	           	           
2017	4	18	9	45	1874.39	1874.66	1871.18	1871.34	205533	1872.79	           	           	           
2017	4	18	9	50	1871.39	1873.59	1871.35	1873.59	210527	1872.46	           	           	           
2017	4	18	9	55	1873.52	1873.66	1871.53	1872.23	184587	1872.91	           	           	           
2017	4	18	10	0	1872.19	1873.49	1872.19	1873.43	167270	1872.83	           	           	           
2017	4	18	10	5	1873.52	1873.99	1873.29	1873.37	167706	1873.4	           	           	           
2017	4	18	10	10	1873.11	1873.49	1871.34	1871.37	130792	1872.37	           	           	           
2017	4	18	10	15	1871.43	1871.47	1869.12	1869.16	141359	1870.27	1873.82	           	           
2017	4	18	10	20	1869.21	1871.98	1868.83	1871.98	142823	1870.57	1873.6	           	           
2017	4	18	10	25	1872.08	1874	1872	1873.58	133924	1872.78	1873.59	           	           
2017	4	18	10	30	1873.64	1874.48	1872.71	1873.07	147402	1873.33	1873.49	           	           
2017	4	18	10	35	1872.95	1873.81	1872.81	1873.05	94172	1873.06	1873.33	           	           
2017	4	18	10	40	1873.05	1873.42	1872.3	1873.27	91747	1873.16	1873.14	           	           
2017	4	18	10	45	1873.13	1875.76	1873.13	1875.74	100040	1874.5	1872.97	           	           
2017	4	18	10	50	1875.77	1878.1	1875.77	1877.71	132536	1876.72	1872.86	           	           
2017	4	18	10	55	1877.65	1877.92	1876.74	1877.02	89938	1877.37	1872.73	           	           
2017	4	18	11	0	1877.31	1877.42	1876.14	1876.33	112023	1876.68	1872.62	           	           
2017	4	18	11	5	1876.14	1876.78	1875	1875.44	93194	1875.88	1872.47	           	           
2017	4	18	11	10	1875.32	1876.13	1873.37	1873.37	112031	1874.41	1872.32	           	           
2017	4	18	11	15	1873.34	1874.09	1872.88	1872.88	91559	1873.13	1872.2	           	           
2017	4	18	11	20	1872.82	1873.01	1871.88	1871.9	76111	1872.39	1872.05	           	           
2017	4	18	11	25	1871.96	1872.08	1871.02	1871.03	76991	1871.47	1871.88	           	           
2017	4	18	11	30	1871.2	1871.73	1870.45	1871.65	66044	1871.34	1871.75	           	           
2017	4	18	13	5	1871.78	1873.11	1871.67	1871.76	71063	1871.7	1871.66	           	           
2017	4	18	13	10	1871.9	1872.08	1871.17	1871.79	62403	1871.77	1871.52	           	           
2017	4	18	13	15	1871.75	1872.54	1871.18	1871.21	68513	1871.5	1871.37	           	           
2017	4	18	13	20	1871.28	1871.6	1869.43	1869.69	87349	1870.45	1871.22	           	           
2017	4	18	13	25	1869.66	1870.58	1869.43	1870.47	71994	1870.08	1871.14	           	           
2017	4	18	13	30	1870.52	1871.1	1870.41	1870.79	67797	1870.63	1871.09	           	           
2017	4	18	13	35	1870.74	1871.88	1870.74	1871.48	72280	1871.13	1871.08	           	           
2017	4	18	13	40	1871.67	1871.67	1870.21	1870.31	73441	1870.89	1871.13	           	           
2017	4	18	13	45	1870.38	1870.52	1866.44	1866.44	108476	1868.38	1871.11	           	           
2017	4	18	13	50	1866.32	1866.34	1865.42	1865.68	117703	1866.06	1871.07	           	           
2017	4	18	13	55	1865.6	1866.68	1865.47	1866.32	88718	1866	1871.01	           	           
2017	4	18	14	0	1866.24	1866.73	1865.48	1865.52	87486	1865.92	1870.93	           	           
2017	4	18	14	5	1865.59	1865.81	1862.55	1862.68	117857	1864.1	1870.82	           	           
2017	4	18	14	10	1862.78	1863.64	1862.74	1863.22	115846	1862.95	1870.78	           	           
2017	4	18	14	15	1863.32	1863.32	1857.23	1857.29	147948	1860.26	1870.66	           	           
2017	4	18	14	20	1857.05	1857.29	1855.35	1857.06	175568	1857.18	1870.38	           	           
2017	4	18	14	25	1857.14	1857.14	1854.21	1854.21	130221	1855.63	1870.06	           	           
2017	4	18	14	30	1854.32	1856.57	1853.26	1856.57	144828	1855.39	1869.8	           	           
2017	4	18	14	35	1856.56	1857.43	1856.56	1856.68	101669	1856.63	1869.55	           	           
2017	4	18	14	40	1856.79	1856.79	1852.79	1852.81	120526	1854.74	1869.22	           	           
2017	4	18	14	45	1852.63	1852.83	1847.2	1848.46	218476	1850.63	1868.8	           	           
2017	4	18	14	50	1848.45	1851.3	1848.08	1851.3	170410	1849.88	1868.46	           	           
2017	4	18	14	55	1851.21	1851.27	1849.55	1849.91	176812	1850.61	1868.07	           	           
2017	4	18	15	0	1850.02	1850.04	1848.2	1848.2	195371	1849.05	1867.65	           	           
2017	4	19	9	35	1841.6	1844.81	1840.15	1843.65	361260	1845.92	1867.19	           	           
2017	4	19	9	40	1843.77	1844.16	1833.72	1833.72	290488	1838.68	1866.6	           	           
2017	4	19	9	45	1833.78	1833.78	1829.48	1832.85	296441	1833.29	1865.97	           	           
2017	4	19	9	50	1833.23	1834.46	1831.62	1831.78	213125	1832.32	1865.38	           	           
2017	4	19	9	55	1831.75	1831.75	1826.59	1830.7	241729	1831.23	1864.79	           	           
2017	4	19	10	0	1830.72	1832.23	1830.03	1831.31	193764	1831	1864.17	           	           
2017	4	19	10	5	1831.31	1833.32	1829.86	1829.87	181595	1830.59	1863.5	           	           
2017	4	19	10	10	1829.49	1829.72	1822.76	1823.01	225149	1826.45	1862.7	           	           
2017	4	19	10	15	1823.08	1823.91	1819.97	1823.91	216332	1823.46	1861.92	           	           
2017	4	19	10	20	1824	1825.04	1822.93	1823.49	156186	1823.7	1861.07	           	           
2017	4	19	10	25	1823.38	1823.38	1819.84	1820.36	129686	1821.92	1860.12	           	           
2017	4	19	10	30	1820.52	1820.81	1812.39	1814.67	200286	1817.52	1859.13	           	           
2017	4	19	10	35	1814.75	1819.14	1813.97	1818.86	160760	1816.77	1858.17	           	           
2017	4	19	10	40	1818.9	1820.79	1818.83	1820.75	104960	1819.8	1857.27	           	           
2017	4	19	10	45	1820.73	1822.84	1820.63	1822.48	109147	1821.62	1856.37	           	           
2017	4	19	10	50	1822.66	1823.41	1822.38	1823.29	96599	1822.88	1855.49	           	           
2017	4	19	10	55	1823.2	1823.65	1822.44	1823.65	93612	1823.47	1854.66	           	           
2017	4	19	11	0	1823.98	1825.29	1823.25	1823.39	95377	1823.52	1853.85	1863.84	           
2017	4	19	11	5	1823.61	1823.88	1821.63	1822	88668	1822.7	1852.98	1863.29	           
2017	4	19	11	10	1821.9	1822.17	1817.44	1817.44	114181	1819.72	1851.99	1862.79	           
2017	4	19	11	15	1817.54	1822.75	1817.02	1822.64	104666	1820.04	1851.11	1862.3	           
2017	4	19	11	20	1822.45	1823.42	1822.26	1823.14	82338	1822.89	1850.23	1861.78	           
2017	4	19	11	25	1823.1	1828.02	1822.94	1827.93	100316	1825.54	1849.44	1861.29	           
2017	4	19	11	30	1828.12	1829.74	1827.97	1829.61	102480	1828.77	1848.63	1860.8	           
2017	4	19	13	5	1829.89	1830.73	1829.14	1829.14	100925	1829.38	1847.77	1860.32	           
2017	4	19	13	10	1829.18	1829.2	1828.45	1828.76	65421	1828.95	1846.93	1859.83	           
2017	4	19	13	15	1828.69	1828.8	1825.76	1825.92	62963	1827.34	1846.04	1859.33	           
2017	4	19	13	20	1825.93	1827.49	1825.5	1826.82	69025	1826.38	1845.19	1858.83	           
2017	4	19	13	25	1826.92	1828.41	1826.82	1826.94	75248	1826.88	1844.38	1858.35	           
2017	4	19	13	30	1826.92	1827.11	1823.53	1823.73	84598	1825.33	1843.51	1857.86	           
2017	4	19	13	35	1823.74	1824.78	1822.5	1824.07	75490	1823.9	1842.67	1857.36	           
2017	4	19	13	40	1823.99	1824.79	1822.11	1822.35	84991	1823.21	1841.82	1856.85	           
2017	4	19	13	45	1822.32	1823.31	1819.17	1823.31	130170	1822.83	1840.97	1856.36	           
2017	4	19	13	50	1823.31	1827.45	1823.31	1826.8	135483	1825.05	1840.18	1855.92	           
2017	4	19	13	55	1826.79	1827.34	1825.87	1826.02	89548	1826.41	1839.38	1855.45	           
2017	4	19	14	0	1825.93	1832.13	1825.31	1832.13	151726	1829.08	1838.69	1855.03	           
2017	4	19	14	5	1832.15	1834.24	1832.15	1833.36	141794	1832.74	1838.06	1854.64	           
2017	4	19	14	10	1833.32	1833.42	1832.78	1833.15	83588	1833.26	1837.4	1854.27	           
2017	4	19	14	15	1833.12	1833.39	1831	1831.45	85676	1832.3	1836.71	1853.9	           
2017	4	19	14	20	1831.6	1833.21	1830.35	1833.21	85988	1832.33	1836.04	1853.56	           
2017	4	19	14	25	1834.2	1839.38	1833.94	1839.35	155550	1836.28	1835.5	1853.32	           
2017	4	19	14	30	1839.24	1839.28	1837.23	1837.66	115045	1838.51	1834.99	1853.05	           
2017	4	19	14	35	1837.69	1838.54	1836.62	1836.66	101169	1837.16	1834.48	1852.78	           
2017	4	19	14	40	1836.66	1837.38	1835.28	1837.37	103287	1837.01	1833.98	1852.49	           
2017	4	19	14	45	1837.65	1842.7	1837.57	1842.7	140073	1840.03	1833.58	1852.25	           
2017	4	19	14	50	1842.75	1844.42	1842.44	1843.96	169131	1843.33	1833.25	1852.04	           
2017	4	19	14	55	1843.86	1845.6	1843.73	1845.41	195844	1844.68	1832.93	1851.86	           
2017	4	19	15	0	1845.52	1845.64	1843.56	1845.38	203991	1845.41	1832.73	1851.69	           
2017	4	20	9	35	1843.97	1848.43	1843.14	1848.43	344145	1846.91	1832.57	1851.48	           
2017	4	20	9	40	1848.42	1848.42	1846.29	1846.48	239409	1847.45	1832.44	1851.25	           
2017	4	20	9	45	1846.5	1849.81	1845.79	1849.81	202489	1848.16	1832.32	1851.06	           
2017	4	20	9	50	1849.72	1853.68	1849.53	1852.34	193698	1851.08	1832.24	1850.9	           
2017	4	20	9	55	1852.25	1854.74	1852.25	1853.75	178654	1853.05	1832.26	1850.74	           
2017	4	20	10	0	1853.81	1854.29	1851.24	1852.24	174430	1852.98	1832.33	1850.56	           
2017	4	20	10	5	1852.12	1856.73	1852.12	1855.13	144715	1853.67	1832.39	1850.43	           
2017	4	20	10	10	1855.36	1855.36	1852.16	1852.4	143308	1853.77	1832.44	1850.26	           
2017	4	20	10	15	1852.39	1855.01	1851.98	1853.31	138743	1852.86	1832.53	1850.09	           
2017	4	20	10	20	1853.33	1853.8	1847.27	1847.35	155846	1850.33	1832.59	1849.89	           
2017	4	20	10	25	1847.4	1850.05	1847.1	1849.93	112747	1848.64	1832.88	1849.74	           
2017	4	20	10	30	1850.14	1851.62	1849.5	1849.57	89095	1849.75	1833.17	1849.57	           
2017	4	20	10	35	1849.39	1852.38	1849.39	1852.08	110614	1850.83	1833.53	1849.45	           
2017	4	20	10	40	1852.11	1852.53	1850.95	1851.06	81036	1851.58	1833.88	1849.34	           
2017	4	20	10	45	1851.08	1851.27	1849.93	1851.13	79875	1851.09	1834.23	1849.2	           
2017	4	20	10	50	1851.22	1851.9	1851	1851.02	89751	1851.08	1834.6	1849.05	           
2017	4	20	10	55	1850.77	1850.98	1847.78	1847.91	135914	1849.47	1835.04	1848.87	           
2017	4	20	11	0	1847.85	1848.31	1845.37	1845.52	129659	1846.7	1835.42	1848.67	           
2017	4	20	11	5	1845.46	1845.46	1843.23	1843.89	139140	1844.7	1835.78	1848.42	           
2017	4	20	11	10	1843.76	1844.75	1843.52	1843.86	83787	1843.88	1836.19	1848.16	           
2017	4	20	11	15	1843.82	1844.15	1842.2	1842.2	95762	1843.03	1836.67	1847.9	           
2017	4	20	11	20	1842.16	1842.16	1840.3	1841.19	116737	1841.7	1837.06	1847.62	           
2017	4	20	11	25	1841.29	1843.44	1841.29	1842.93	81286	1842.06	1837.45	1847.36	           
2017	4	20	11	30	1842.97	1844.17	1842.97	1844.06	61144	1843.5	1837.83	1847.1	           
2017	4	20	13	5	1843.92	1845.46	1843.92	1845.46	66061	1844.75	1838.22	1846.86	           
2017	4	20	13	10	1845.47	1846.93	1845.1	1846.93	55200	1846.19	1838.63	1846.64	           
2017	4	20	13	15	1846.83	1850.19	1846.83	1850.17	72049	1848.55	1839.1	1846.48	           
2017	4	20	13	20	1850.36	1853	1850.26	1852.04	110979	1851.11	1839.62	1846.3	           
2017	4	20	13	25	1851.79	1851.79	1848.48	1848.48	105817	1850.27	1840.17	1846.08	           
2017	4	20	13	30	1848.44	1848.56	1847.5	1847.79	84418	1848.13	1840.61	1845.86	           
2017	4	20	13	35	1847.76	1848.17	1843.98	1844.05	139615	1845.92	1840.98	1845.6	           
